iter	Passed	Remaining
0	12	2467
1	22	2232
2	27	1776
3	31	1531
4	35	1383
5	39	1284
6	44	1214
7	48	1159
8	52	1111
9	55	1052
10	58	999
11	60	953
12	63	914
13	66	881
14	69	851
15	71	824
16	74	799
17	76	777
18	79	757
19	82	739
20	84	722
21	87	706
22	90	693
23	92	679
24	95	666
25	97	654
26	100	642
27	102	632
28	105	622
29	108	612
30	110	603
31	113	595
32	115	586
33	118	578
34	121	570
35	123	562
36	126	555
37	128	548
38	131	541
39	133	534
40	136	528
41	138	522
42	141	516
43	143	510
44	146	504
45	149	499
46	151	493
47	154	488
48	156	483
49	159	478
50	161	472
51	164	468
52	167	463
53	169	458
54	172	454
55	174	449
56	177	444
57	179	440
58	182	436
59	185	431
60	187	427
61	190	423
62	192	419
63	195	414
64	197	410
65	200	406
66	202	402
67	205	398
68	207	394
69	210	390
70	212	386
71	215	383
72	218	379
73	220	375
74	223	371
75	225	367
76	228	364
77	230	360
78	233	357
79	235	353
80	238	349
81	240	346
82	243	342
83	245	339
84	248	335
85	250	332
86	253	329
87	255	325
88	258	322
89	261	319
90	263	315
91	266	312
92	268	308
93	271	305
94	273	302
95	285	309
96	297	316
97	304	317
98	311	317
99	318	318
100	324	318
101	328	316
102	332	312
103	335	309
104	338	306
105	341	302
106	344	299
107	347	295
108	350	292
109	353	289
110	356	285
111	359	282
112	363	279
113	366	276
114	369	273
115	372	269
116	375	266
117	378	263
118	381	259
119	385	256
120	388	253
121	391	250
122	394	246
123	397	243
124	400	240
125	403	236
126	406	233
127	408	229
128	411	226
129	413	222
130	416	219
131	418	215
132	421	212
133	423	208
134	426	205
135	428	201
136	431	198
137	434	195
138	436	191
139	439	188
140	441	184
141	444	181
142	446	178
143	449	174
144	452	171
145	454	168
146	457	164
147	459	161
148	462	158
149	464	154
150	467	151
151	470	148
152	472	145
153	475	141
154	477	138
155	480	135
156	482	132
157	485	128
158	487	125
159	490	122
160	492	119
161	495	116
162	498	113
163	500	109
164	503	106
165	505	103
166	508	100
167	510	97
168	513	94
169	515	91
170	518	87
171	520	84
172	523	81
173	525	78
174	528	75
175	531	72
176	533	69
177	536	66
178	538	63
179	541	60
180	543	57
181	546	54
182	549	51
183	551	47
184	554	44
185	556	41
186	559	38
187	561	35
188	564	32
189	567	29
190	569	26
191	572	23
192	574	20
193	577	17
194	579	14
195	582	11
196	584	8
197	587	5
198	589	2
199	592	0
